Sport,League,City,State,Name
Basketball,NBA,Atlanta,Georgia,Atlanta Hawks
Basketball,NBA,Boston,Massachusetts,Boston Celtics
Basketball,NBA,Brooklyn,New York,Brooklyn Nets
Basketball,NBA,Charlotte,North Carolina,Charlotte Hornets
Basketball,NBA,Chicago,Illinois,Chicago Bulls
Basketball,NBA,Cleveland,Ohio,Cleveland Cavaliers
Basketball,NBA,Dallas,Texas,Dallas Mavericks
Basketball,NBA,Denver,Colorado,Denver Nuggets
Basketball,NBA,Detroit,Michigan,Detroit Pistons
Basketball,NBA,San Francisco,California,Golden State Warriors
Basketball,NBA,Houston,Texas,Houston Rockets
Basketball,NBA,Indianapolis,Indiana,Indiana Pacers
Basketball,NBA,Los Angeles,California,Los Angeles Clippers
Basketball,NBA,Los Angeles,California,Los Angeles Lakers
Basketball,NBA,Memphis,Tennessee,Memphis Grizzlies
Basketball,NBA,Miami,Florida,Miami Heat
Basketball,NBA,Milwaukee,Wisconsin,Milwaukee Bucks
Basketball,NBA,Minneapolis,Minnesota,Minnesota Timberwolves
Basketball,NBA,New Orleans,Louisiana,New Orleans Pelicans
Basketball,NBA,New York City,New York,New York Knicks
Basketball,NBA,Oklahoma City,Oklahoma,Oklahoma City Thunder
Basketball,NBA,Orlando,Florida,Orlando Magic
Basketball,NBA,Philadelphia,Pennsylvania,Philadelphia 76ers
Basketball,NBA,Phoenix,Arizona,Phoenix Suns
Basketball,NBA,Portland,Oregon,Portland Trailblazers
Basketball,NBA,Sacramento,California,Sacramento Kings
Basketball,NBA,San Antonio,Texas,San Antonio Spurs
Basketball,NBA,Toronto,Ontario,Toronto Raptors
Basketball,NBA,Salt Lake City,Utah,Utah Jazz
Basketball,NBA,Washington D.C., ,Washington Wizards
Soccer,MLS,Atlanta,Georgia,Atlanta United FC
Soccer,MLS,Bridgeview,Illinois,Chicago Fire
Soccer,MLS,Cincinnati,Ohio,FC Cincinnati
Soccer,MLS,Columbus,Ohio,Columbus Crew
Soccer,MLS,Washington D.C.,,D.C. United
Soccer,MLS,Montreal,Quebec,Montreal Impact
Soccer,MLS,Foxborough,Massachusetts,New England Revolution
Soccer,MLS,New York City,New York,New York City FC
Soccer,MLS,Harrison,New Jersey,New York Red Bulls
Soccer,MLS,Orlando,Florida,Orlando City FC
Soccer,MLS,Chester,Pennsylvania,Philadelphia Union
Soccer,MLS,Toronto,Ontario,Toronto FC
Soccer,MLS,Commerce City,Colorado,Colorado Rapids
Soccer,MLS,Frisco,Texas,FC Dallas
Soccer,MLS,Houston,Texas,Houston Dynamo
Soccer,MLS,Carson,California,LA Galaxy
Soccer,MLS,Los Angeles,California,Los Angeles FC
Soccer,MLS,Saint Paul,Minnesota,Minnesota United FC
Soccer,MLS,Portland,Oregon,Portland Timbers
Soccer,MLS,Sandy,Utah,Real Salt Lake
Soccer,MLS,San Jose,California,San Jose Earthquakes
Soccer,MLS,Seattle,Washington,Seattle Sounders FC
Soccer,MLS,Kansas City,Kansas,Sporting Kansas City
Soccer,MLS,Vancouver,British Columbia,Vancouver Whitecaps FC
Soccer,MLS,Austin,Texas,Austin FC
Soccer,MLS,Miami,Florida,Inter Miami
Soccer,MLS,Nashville,Tennessee,Nashville SC
Football,NFL,Orchard Park,New York,Buffalo Bills
Football,NFL,Miami Gardens,Florida,Miami Dolphins
Football,NFL,Foxborough,Massachusetts,New England Patriots
Football,NFL,East Rutherford,New Jersey,New York jets
Football,NFL,Baltimore,Maryland,Baltimore Ravens
Football,NFL,Cincinnati,Ohio,Cincinnati Bengals
Football,NFL,Cleveland,Ohio,Cleveland Browns
Football,NFL,Pittsburgh,Pennsylvania,Pittsburgh Steelers
Football,NFL,Houston,Texas,Houston Texans
Football,NFL,Indianapolis,Indiana,Indianapolis Colts
Football,NFL,Jacksonville,FLorida,Jacksonville Jaguars
Football,NFL,Nashville,Tennessee,Tennessee Titans
Football,NFL,Denver,Colorado,Denver Broncos
Football,NFL,Kansas City,Missouri,Kansas City Chiefs
Football,NFL,Carson,California,Los Angeles Chargers
Football,NFL,Oakland,California,Oakland Raiders
Football,NFL,Arlington,Texas,Dallas Cowboys
Football,NFL,East Rutherford,New Jersey,New York Giants
Football,NFL,Philadelphia,Pennsylvania,Philadelphia Eagles
Football,NFL,Landover,Maryland,Washington Redskins
Football,NFL,Chicago,Illinois,Chicago Bears
Football,NFL,Detroit,Michigan,Detroit Lions
Football,NFL,Green Bay,Wisconsin,Green Bay Packers
Football,NFL,Minneapolis,Minnesota,Minnesota Vikings
Football,NFL,Atlanta,Georgia,Atlanta Falcons
Football,NFL,Charlotte,North Carolina,Carolina Panthers
Football,NFL,New Orleans,Louisiana,New Orleans Saints
Football,NFL,Tampa,Florida,Tampa Bay Buccaneers
Football,NFL,Glendale,Arizona,Arizona Cardinals
